Timestamp,lga,gender,age,education,do you own land,6- How did you acquire farming land?,7- Size of your farm?,8- Core sources of income?,9- Level of income per month in Nigerian naira?,"10- In addition to maize farming, what are your other sources of income and Average annual income (Naira)?",11- . Specify whether you acknowledged any credit for your agriculture ?,12- Years of farming experience?,13- Are you a member of a farmers’ association? ,14- Specify aids received as a member?,1- In your opinion is climate change taking place?,"2- If you are agreed, please specify from the list below what is your experience for the last 20 years that varieties your opinion that climate change is happening? ",3- Are you afraid of these climate changes?,"4- If yes, why?","1- Would you come to an agreement that the changes you stated, have negatively affected your maize farming activities?","2- If yes, what following effect would you tell us, these changes have had on your agriculture? [Increase in temperature]","2- If yes, what following effect would you tell us, these changes have had on your agriculture? [Increase in rainfall and increased frequency and intensity of floods]","2- If yes, what following effect would you tell us, these changes have had on your agriculture? [Changes in precipitation patterns]","2- If yes, what following effect would you tell us, these changes have had on your agriculture? [Increased frequency and intensity of droughts and decline in rainfall]",3- Take a reference of the last 10 years (2021); Is Maize farming areas?,"4- If increases or decreases, why?",1- Have you transformed your maize farming practices in response to climate change conditions?,2- Are you cognizant of climate-smart practices? ,4- Have you experienced any training on climate-smart practices for more than one week in an NGO or an institution? ,5- Do you know the benefits connected with the adoption of climate-smart practices? ,6- If yes what are the advantages of the adoption of climate-smart practices? ,7- ,7- For how long have you tried them on your farm? ,"8- If you have tried these practices, what do you propose to do? ",1- Do you receive climate information or early warning messages? ,"2- If yes, how do you receive this information through communication channels?","3- If you have received climate information, are you using the information?",4- If not why?,"5- If yes, does it influence you to change management practices? ",6- If yes what are the management options?,"10- In addition to maize farming, what are your other sources of income and Average annual income (Naira)? [Others]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Mixed cropping]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Combined crop and livestock systems]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Using seasonal weather predictions]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Agroforestry]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Crop rotation]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Rainwater harvesting]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Irrigation using effective technology]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Farmyard composting]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Preservation of hay during the dry season]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Use of organic manure & chemical fertilizer]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Other, specify]"
6/30/2022 2:46,Kudan,Female,above 40,Primary school education,No,"Others, Family",50 – 200ha,Farm income,Above 10000,"50,000",No,Above 5 years,No,None,Agree,"Decrease in rainfall, Increase in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crop yields have declined,Agree,The decline in crop yield diseases,The emergence of new strains of pests and diseases,Reduced moisture in the soil leads to wilting of crops,Exacerbated soil erosion,Decrease,,No,No,No,No,None,,None,None,None,None,None,,None,,,Practice (Yes),None,None,None,Aware (Yes),None,None,Practice (Yes),None,Practice (Yes),None
6/30/2022 7:32,Chikun,Female,20 – 40,Tertiary Education,Yes,Inherited,50 – 200ha,"Non-farm income (employment, business, etc)",< 10000,"10,000",Yes,Above 5 years,No,None,Agree,Decrease in rainfall,Yes,I am unable to plan my farming activities,Agree,Lack of pasture,Crop failure,"Inability to plan farming activities, instability in production resulting from the Crop failure.","Inability to plan farming activities, instability in production resulting from the Crop failure.",Decrease,,No,No,No,No,Increases productivity,,Don't understand ,Abandon,Yes,"Television, Internet",Yes,None ,Yes,Early planting of crops,,Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes)
6/30/2022 7:33,Sabon Gari,Female,above 40,Tertiary Education,No,Rented,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",Yes,5 years,Yes,Access to credit,Agree,"Increase in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crop yields have declined,Agree,Exacerbated soil erosion,Destruction of crops as a result of flooding,Pests and diseases outbreak,Poor quality pasture as a result of nutrient leaching,Increase,,Yes,No,No,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security, Are efficient in the use of natural resources, More profitable and less costly",,2 years,Continue,No,None,Yes,,No,,,Aware (Yes),None,None,None,None,None,None,None,None,Aware (Yes),None
6/30/2022 20:50,Sabon Gari,Male,20 – 40,Tertiary Education,No,Rented,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"30,000",No,5 years,No,Learn new methods of farming,Strongly agree,"Decrease in rainfall, Increase in temperature, Increased frequency and intensity in droughts",Yes,Crops have been destroyed and livestock died,Agree,None,None,The decline in crop yield,"Inability to plan farming activities, instability in production resulting from the Crop failure.",Decrease,"The major problem started with economics issue which led to high increase in the price of fertilizer, the inconsistency of rainfall is as well a major factor.",No,No,No,No,"Are efficient in the use of natural resources, More profitable and less costly",,1,Continue,No,"Radio, None",No,,No,,,Aware (Yes),Knowledge (Yes),None,None,None,None,None,Aware (No),Aware (Yes),Aware (Yes),None
7/1/2022 4:15,Lere,Male,20 – 40,Tertiary Education,No,Inherited,50 – 200ha,Business,< 10000,"30,000",Yes,5 years,No,Access to credit,Agree,Decrease in rainfall,Yes,Crops have been destroyed and livestock died,Agree,None,The emergence of new strains of pests and diseases,The decline in crop yield diseases,None,Increase,Yes it increases alot,Yes,No,No,No,More profitable and less costly,,2 years,Continue,Yes,"Radio, Television, Internet, Native forecasters",Yes,,Yes,Early planting,,Aware (Yes),Aware (Yes),None,None,Aware (Yes),Aware (Yes),None,Aware (Yes),Aware (Yes),Aware (Yes),None
7/2/2022 17:25,Kubau,Male,20 – 40,Secondary School education,Yes,Inherited,50 – 200ha,Farm income,Above 10000,"Above 100,000",No,Above 5 years,No,None,Neutral,"Decrease in rainfall, Increase in rainfall, Increase in temperature, Decrease in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crops have been destroyed and livestock died,Strongly agree,Crop failure,Crop failure,Crop failure,Crop failure,Decrease,Poss harvest losses and irregular rainfall patterns ,No,No,No,No,None ,,Haven’t tried ,Haven’t tried ,No,None,No,I have no access to such information ,No,N/A,,Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No)
7/2/2022 17:28,Kubau,Male,20 – 40,Arabic Education,Yes,Inherited,Above 200ha,Farm income,Above 10000,"Above 100,000",No,Above 5 years,No,None,Neutral,"Decrease in rainfall, Increase in rainfall, Increase in temperature, Decrease in temperature",Yes,Crop yields have declined,Strongly agree,Crop failure,Crop failure,Crop failure,Crop failure,Decrease,I don’t know but it has something to do with the climate changes ,No,No,No,No,I don’t know ,,Above 2 years,Haven’t tried but it seems promising ,No,None,No,,No,,,Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No)
7/2/2022 17:33,Kubau,Male,above 40,Arabic Education,Yes,"Inherited, Bought, Rented",Above 200ha,Farm income,Above 10000,"Above 100,000",Yes,Above 5 years,Yes,"Learn new methods of farming, Access to credit",Strongly agree,"Decrease in rainfall, Increase in rainfall, Increase in temperature, Decrease in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crop yields have declined,Strongly agree,Crop failure,Crop failure,Crop failure,Crop failure,Decrease,Irregular rainfall patterns and dry spells ,No,Yes,No,Yes,"Enhances resilience to climate change, Are efficient in the use of natural resources, More profitable and less costly",,Above 2 years,Continue,No,None,Yes,,Yes,,,Aware (Yes),Aware (Yes),Aware (No),Aware (Yes),Aware (No),Aware (Yes),Aware (No),Aware (Yes),Aware (No),Aware (Yes),Aware (No)
7/2/2022 17:46,Kubau,Male,above 40,Secondary School education,Yes,"Inherited, Bought, Rented",Above 200ha,Farm income,Above 10000,"Above 100,000",Yes,More than 30 years ,Yes,"Learn new methods of farming, Access to extension services, Access to credit, Any other benefit",Strongly agree,"Decrease in rainfall, Increase in rainfall, Increase in temperature, Decrease in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crop yields have declined,Strongly agree,Destruction of crops as a result of flooding,Destruction of crops as a result of flooding,Destruction of crops as a result of flooding,Destruction of crops as a result of flooding,Decrease,,No,Yes,No,No,I don’t know ,,None ,Continue,No,None,No,,Yes,,,Knowledge (Yes),Knowledge (Yes),Knowledge (Yes),Knowledge (Yes),Knowledge (Yes),Knowledge (Yes),Knowledge (Yes),Knowledge (Yes),Knowledge (Yes),Knowledge (Yes),Knowledge (Yes)
7/2/2022 17:48,Kubau,Female,20 – 40,Arabic Education,Yes,Inherited,50 – 200ha,Farm income,Above 10000,"Above 100,000",Yes,Above 5 years,Yes,"Learn new methods of farming, Access to extension services, Access to credit, Any other benefit",Strongly agree,"Decrease in rainfall, Increase in rainfall, Increase in temperature, Decrease in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crop yields have declined,Strongly agree,The emergence of new strains of pests and diseases,Poor quality pasture as a result of nutrient leaching,"Inability to plan farming activities, instability in production resulting from the Crop failure.",The decline in crop yield,Decrease,,Yes,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security, Are efficient in the use of natural resources, More profitable and less costly",,Above 2 years,Continue,Yes,"Internet, Extension services",Yes,,Yes,,,Practice (Yes),Knowledge (No),Practice (Yes),Practice (No),Practice (Yes),Practice (No),Practice (Yes),Practice (Yes),Practice (Yes),Practice (Yes),Practice (Yes)
7/2/2022 17:53,Kubau,Male,20 – 40,Secondary School education,Yes,Inherited,50 – 200ha,Farm income,Above 10000,"Above 100,000",No,Above 5 years,Yes,"Learn new methods of farming, Access to extension services, Access to credit, Any other benefit",Strongly agree,"Decrease in rainfall, Increase in rainfall, Increase in temperature, Decrease in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crop yields have declined,Strongly agree,None,None,None,None,Decrease,,Yes,Yes,No,No,"Enhances resilience to climate change, Increases productivity, Enhances food security, Are efficient in the use of natural resources, More profitable and less costly",,Above 2 years,Continue,No,None,No,,No,,,None,None,None,None,None,None,None,None,None,None,None
7/2/2022 18:01,Kubau,Male,above 40,Secondary School education,Yes,Inherited,50 – 200ha,Farm income,Above 10000,"Above 100,000",No,Above 5 years,No,None,Strongly agree,"Decrease in rainfall, Increase in rainfall, Increase in temperature, Decrease in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crop yields have declined,Strongly agree,Crop failure,Crop failure,Crop failure,Crop failure,Decrease,,Yes,No,No,No,"Enhances resilience to climate change, Increases productivity, Enhances food security, Are efficient in the use of natural resources, More profitable and less costly",,Above 2 years,Continue,No,None,No,,No,,,Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No)
7/2/2022 18:09,Kubau,Male,20 – 40,Arabic Education,No,Rented,50 – 200ha,Farm income,Above 10000,"Above 100,000",No,Above 5 years,No,None,Strongly agree,"Decrease in rainfall, Increase in rainfall, Increase in temperature, Decrease in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crop yields have declined,Strongly agree,Crop failure,Crop failure,Crop failure,Crop failure,Decrease,,No,No,No,No,None ,,Above 2 years,I don’t know ,No,None,No,,No,,,Practice (Yes),None,None,None,Practice (Yes),None,Aware (Yes),Aware (Yes),Practice (Yes),Practice (Yes),None
7/2/2022 20:28,Kubau,Male,above 40,Arabic Education,Yes,Inherited,50 – 200ha,Farm income,Above 10000,"Above 100,000",No,Above 5 years,No,None,Strongly agree,"Decrease in rainfall, Increase in rainfall, Increase in temperature, Decrease in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crop yields have declined,Strongly agree,Crop failure,Crop failure,Crop failure,Crop failure,Decrease,,No,No,No,No,None ,,Haven’t tried ,No idea ,No,None,No,,No,,,None,None,None,None,None,None,None,None,None,None,None
7/2/2022 20:30,Kubau,Male,20 – 40,Arabic Education,Yes,Inherited,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",Yes,Above 5 years,No,None,Strongly agree,"Decrease in rainfall, Increase in rainfall, Increase in temperature, Decrease in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crop yields have declined,Strongly agree,Crop failure,Crop failure,Crop failure,Crop failure,Decrease,,No,No,No,No,None ,,Above 2 years,None ,No,None,No,,No,,,Practice (Yes),Practice (No),Practice (No),Practice (No),Practice (Yes),Practice (No),Practice (No),Practice (Yes),Practice (Yes),Practice (Yes),Practice (No)
7/2/2022 20:35,Kubau,Male,20 – 40,Secondary School education,Yes,Inherited,50 – 200ha,"Non-farm income (employment, business, etc)",< 10000,"60,000",No,Above 5 years,No,None,Strongly agree,"Decrease in rainfall, Increase in rainfall, Increase in temperature, Decrease in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crop yields have declined,Strongly agree,None,None,None,None,Decrease,,No,No,No,No,I don’t know ,,Above 2 years,Not really ,No,None,No,,No,,,Practice (Yes),Practice (No),Practice (Yes),Practice (No),Practice (Yes),Practice (No),Practice (Yes),Practice (No),Practice (Yes),Practice (No),Practice (No)
7/5/2022 18:16,Ikara,Male,20 – 40,Tertiary Education,No,Rented,Above 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",Yes,Above 5 years,Yes,"Learn new methods of farming, Access to extension services, Access to credit",Strongly agree,"Decrease in rainfall, Increase in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crops have been destroyed and livestock died,Strongly agree,Crop failure,Destruction of crops as a result of flooding,Reduced moisture in the soil leads to wilting of crops,The decline in crop yield diseases,Increase,Modern Farming,Yes,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security",,2 years,Continue,Yes,"Television, Internet",Yes,,Yes,,,Practice (Yes),None,Practice (Yes),Practice (Yes),Practice (Yes),Knowledge (Yes),Practice (Yes),Practice (Yes),Aware (Yes),Practice (Yes),None
7/5/2022 18:21,Jaba,Female,20 – 40,Secondary School education,Yes,Family,Above 200ha,Farm income,Above 10000,"Above 100,000",No,Above 5 years,No,None,Agree,"Decrease in rainfall, Increase in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crops have been destroyed and livestock died,Agree,The decline in crop yield diseases,Destruction of crops as a result of flooding,Reduced moisture in the soil leads to wilting of crops,Exacerbated soil erosion,Decrease,,No,No,No,No,None,,None,None,No,None,No,,None,,,Practice (Yes),Practice (Yes),None,None,Practice (Yes),None,None,Practice (Yes),None,Practice (Yes),None
7/5/2022 18:31,Kaduna North,Male,above 40,Secondary School education,Yes,"Inherited, Bought",Above 200ha,Farm income,Above 10000,"Above 100,000",No,Above 5 years,Yes,"Learn new methods of farming, Access to extension services",Strongly agree,"Decrease in rainfall, Increase in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crops have been destroyed and livestock died,Strongly agree,The decline in crop yield,Destruction of crops as a result of flooding,The emergence of new strains of pests and diseases,Exacerbated soil erosion,Decrease,,Yes,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security, Are efficient in the use of natural resources, More profitable and less costly",,Above 2 years,Continue,Yes,"Radio, Television, Internet",Yes,,Yes,,,Practice (Yes),Practice (Yes),Practice (Yes),Practice (Yes),Practice (Yes),Aware (Yes),Knowledge (Yes),Practice (Yes),None,Practice (Yes),None
7/5/2022 18:35,Kagarko,Female,above 40,Arabic Education,Yes,Family,Above 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",No,Above 5 years,No,None,Agree,"Decrease in rainfall, Increase in rainfall, Increase in temperature, Decrease in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crops have been destroyed and livestock died,Strongly agree,The decline in crop yield diseases,Destruction of crops as a result of flooding,The emergence of new strains of pests and diseases,Exacerbated soil erosion,Decrease,,No,No,No,No,None,,Above 2 years,None,No,None,None,,None,,,Practice (Yes),Practice (Yes),None,Aware (Yes),Practice (Yes),None,Aware (Yes),Practice (Yes),None,Practice (Yes),None
7/9/2022 20:35,Kagarko,Male,above 40,Tertiary Education,No,Rented,Above 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",No,5 years,Yes,"Learn new methods of farming, Access to extension services, Access to credit",Strongly agree,"Decrease in rainfall, Increase in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crop yields have declined,Strongly agree,Crop failure,Exacerbated soil erosion,Reduced moisture in the soil leads to wilting of crops,Destruction of crops as a result of flooding,Decrease,,Yes,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security, Are efficient in the use of natural resources, More profitable and less costly",,Above 2 years,Continue,No,None,None,,None,,,Practice (Yes),Knowledge (Yes),Knowledge (Yes),Knowledge (Yes),Practice (Yes),Aware (Yes),Knowledge (Yes),Practice (Yes),Aware (Yes),Practice (Yes),None
7/9/2022 21:39,BirninGwari,Male,above 40,Tertiary Education,No,Rented,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",Yes,5 years,Yes,"Learn new methods of farming, Access to extension services",Strongly agree,"Decrease in rainfall, Increase in temperature",Yes,Crop yields have declined,Strongly agree,Crop failure,Destruction of crops as a result of flooding,Pests and diseases outbreak,Poor quality pasture as a result of nutrient leaching,Decrease,,Yes,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security, Are efficient in the use of natural resources, More profitable and less costly",,Above 2 years,Continue,Yes,"Radio, Television, Newspapers, Posters, Internet",Yes,,Yes,It helps me to Increase my productivity,,Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Practice (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Practice (Yes),Aware (Yes)
7/9/2022 21:50,Chikun,Male,20 – 40,Secondary School education,Yes,Inherited,50 – 200ha,Farm income,Above 10000,"Above 100,000",No,Above 5 years,No,None,Agree,"Decrease in rainfall, Increase in temperature",Yes,Crops have been destroyed and livestock died,Agree,Crop failure,"Inability to plan farming activities, instability in production resulting from the Crop failure.","Inability to plan farming activities, instability in production resulting from the Crop failure.","Inability to plan farming activities, instability in production resulting from the Crop failure.",Decrease,,Yes,No,No,No,Increases productivity,,2 years,Continue,No,None,No,,No,,,Practice (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Practice (Yes),Practice (Yes),Practice (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes)
7/9/2022 21:51,Zaria,Male,20 – 40,Secondary School education,Yes,Inherited,50 – 200ha,Farm income,< 10000,"20,000",Yes,Above 5 years,Yes,Learn new methods of farming,Strongly agree,Decrease in rainfall,Yes,Crops have been destroyed and livestock died,Strongly agree,None,The decline in crop yield diseases,The emergence of new strains of pests and diseases,The emergence of new strains of pests and diseases,Increase,,Yes,Yes,Yes,Yes,Enhances food security,,Above 2 years,Continue,No,Radio,Yes,,Yes,,,None,Aware (Yes),Aware (No),Aware (Yes),Aware (No),Aware (No),Aware (Yes),Aware (Yes),Aware (No),Aware (Yes),Aware (No)
7/9/2022 23:34,Kachia,Male,20 – 40,Tertiary Education,No,Rented,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",Yes,Above 5 years,Yes,"Learn new methods of farming, Access to extension services",Strongly agree,"Decrease in rainfall, Increase in temperature",Yes,Crop yields have declined,Strongly agree,Crop failure,"Inability to plan farming activities, instability in production resulting from the Crop failure.","Inability to plan farming activities, instability in production resulting from the Crop failure.",Destruction of crops as a result of flooding,Decrease,Due to climate change,Yes,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security, Are efficient in the use of natural resources, More profitable and less costly",,Above 2 years,Continue,Yes,"Radio, Television, Newspapers, Internet",Yes,,Yes,I can harvest my crop in a food situation ,,Practice (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Practice (Yes),Aware (Yes),Practice (Yes),Aware (Yes),Practice (Yes),Aware (Yes),None
7/9/2022 23:57,Kagarko,Male,above 40,Tertiary Education,No,Rented,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",Yes,Above 5 years,Yes,"Learn new methods of farming, Access to extension services",Strongly agree,"Decrease in rainfall, Increase in temperature",Yes,I am unable to plan my farming activities,Strongly agree,Crop failure,The decline in crop yield,The emergence of new strains of pests and diseases,None,Decrease,Due to climate change ,Yes,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security, Are efficient in the use of natural resources, More profitable and less costly",,2 years,Continue,Yes,"Radio, Television, SMS services",Yes,,Yes,To increase production ,,Practice (Yes),Knowledge (Yes),Aware (Yes),Aware (Yes),Practice (Yes),Aware (Yes),Aware (Yes),Knowledge (Yes),Aware (Yes),Practice (Yes),None
7/10/2022 0:01,ZangonKataf,Male,20 – 40,Tertiary Education,No,Rented,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",Yes,Above 5 years,Yes,"Learn new methods of farming, Access to extension services",Strongly agree,"Decrease in rainfall, Increase in temperature",Yes,Crop yields have declined,Strongly agree,Crop failure,Poor quality pasture as a result of nutrient leaching,Pests and diseases outbreak,Pests and diseases outbreak,Decrease,Due to climate change ,Yes,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security, Are efficient in the use of natural resources, More profitable and less costly",,Above 2 years,Continue,Yes,"Radio, Television, Internet, SMS services",Yes,,Yes,To increase production ,,Practice (Yes),Knowledge (Yes),Aware (Yes),Aware (Yes),Practice (Yes),Aware (Yes),Aware (Yes),Knowledge (Yes),Aware (Yes),Practice (Yes),None
7/10/2022 0:05,Chikun,Male,20 – 40,Tertiary Education,No,Rented,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",Yes,Above 5 years,Yes,"Learn new methods of farming, Access to extension services",Strongly agree,"Decrease in rainfall, Increase in temperature",Yes,Crop yields have declined,Strongly agree,Crop failure,"Inability to plan farming activities, instability in production resulting from the Crop failure.",The emergence of new strains of pests and diseases,The emergence of new strains of pests and diseases,Decrease,Due to climate change ,Yes,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security, Are efficient in the use of natural resources, More profitable and less costly",,Above 2 years,Continue,Yes,"Radio, Television",Yes,,Yes,Increase productivity ,,Practice (Yes),Knowledge (Yes),Aware (Yes),Knowledge (Yes),Practice (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Practice (Yes),None
7/10/2022 0:10,Jema'a,Male,above 40,Secondary School education,Yes,Inherited,50 – 200ha,Farm income,Above 10000,"Above 100,000",No,Above 5 years,No,None,Agree,"Decrease in rainfall, Increase in temperature",Yes,Crops have been destroyed and livestock died,Agree,Crop failure,"Inability to plan farming activities, instability in production resulting from the Crop failure.",Exacerbated soil erosion,Exacerbated soil erosion,Decrease,Due climate change ,Yes,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity",,Above 2 years,Continue,Yes,"Radio, Television, SMS services, Extension services",Yes,,Yes,Increase productivity ,,Practice (Yes),Aware (Yes),Practice (Yes),Aware (Yes),Practice (Yes),Aware (Yes),Practice (Yes),Aware (Yes),Practice (Yes),Knowledge (No),None
7/10/2022 0:14,Zaria,Male,20 – 40,Tertiary Education,No,Inherited,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",Yes,Above 5 years,Yes,"Learn new methods of farming, Access to extension services",Strongly agree,"Decrease in rainfall, Increase in temperature",Yes,Crops have been destroyed and livestock died,Strongly agree,None,The emergence of new strains of pests and diseases,None,The emergence of new strains of pests and diseases,Decrease,Due to climate change ,Yes,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security, Are efficient in the use of natural resources, More profitable and less costly",,Above 2 years,Continue,Yes,"Radio, Television, SMS services",Yes,,Yes,Increase productivity ,,Practice (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (No),Aware (Yes),Aware (No),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes)
7/10/2022 1:22,Kaduna North,Male,above 40,Tertiary Education,Yes,Inherited,Above 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",Yes,Above 5 years,Yes,"Learn new methods of farming, Access to extension services",Strongly agree,"Decrease in rainfall, Increase in temperature",Yes,Crops have been destroyed and livestock died,Strongly agree,The decline in crop yield diseases,The emergence of new strains of pests and diseases,The emergence of new strains of pests and diseases,The emergence of new strains of pests and diseases,Decrease,,Yes,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security, Are efficient in the use of natural resources, More profitable and less costly",,Above 2 years,Continue,Yes,"Radio, Television",Yes,,Yes,,,Practice (Yes),Aware (Yes),Knowledge (Yes),Practice (Yes),Aware (Yes),Practice (Yes),Aware (Yes),Aware (Yes),Aware (No),Practice (Yes),None
7/10/2022 1:26,ZangonKataf,Male,20 – 40,Tertiary Education,No,Rented,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",Yes,Above 5 years,Yes,"Learn new methods of farming, Access to extension services",Strongly agree,"Decrease in rainfall, Increase in temperature",Yes,Crops have been destroyed and livestock died,Strongly agree,None,The emergence of new strains of pests and diseases,None,None,Decrease,,Yes,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity",,Above 2 years,Continue,Yes,"Radio, Television",Yes,,Yes,,,Practice (Yes),Aware (Yes),Practice (Yes),Aware (Yes),Practice (Yes),Knowledge (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Practice (Yes),None
7/10/2022 1:30,Igabi,Male,20 – 40,Tertiary Education,No,Rented,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",Yes,Above 5 years,Yes,Learn new methods of farming,Strongly agree,"Decrease in rainfall, Increase in temperature",Yes,Crops have been destroyed and livestock died,Strongly agree,Pests and diseases outbreak,Crop failure,The emergence of new strains of pests and diseases,"Inability to plan farming activities, instability in production resulting from the Crop failure.",Decrease,,No,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity",,Above 2 years,Continue,Yes,"Radio, Television",Yes,,Yes,,,Practice (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Practice (Yes),Knowledge (Yes),Aware (Yes),Aware (Yes),Practice (Yes),None
7/10/2022 1:34,Sanga,Male,20 – 40,Tertiary Education,No,Rented,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",Yes,Above 5 years,Yes,"Learn new methods of farming, Access to extension services",Strongly agree,"Decrease in rainfall, Increase in temperature",Yes,Crops have been destroyed and livestock died,Strongly agree,The emergence of new strains of pests and diseases,Exacerbated soil erosion,The decline in crop yield diseases,Crop failure,Decrease,,Yes,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity",,Above 2 years,Continue,Yes,"Radio, Television",Yes,,Yes,,,Practice (Yes),Aware (Yes),Knowledge (Yes),Knowledge (Yes),Practice (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Practice (Yes),Knowledge (No)
